#GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE	GO ASPECT
UniProtKB	O88623-2	Usp2	involved_in	GO:0032922	circadian regulation of gene expression	ECO:0000315	IMP	PMID:26756164		10090	UniProt	has_input(UniProtKB:Q99MJ6),occurs_in(UBERON:0001204)	20220204	P
UniProtKB	Q63400	Cldn3	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:O15551	10116	RGD	regulates_o_occurs_in(CL:0002586),has_input(UniProtKB:O76090)|has_input(UniProtKB:Q92765),regulates_o_occurs_in(CL:0002586)|has_input(UniProtKB:Q5T4F7),regulates_o_occurs_in(CL:0002586)|has_input(UniProtKB:P02766),regulates_o_occurs_in(CL:0002586)|regulates_o_occurs_in(CL:0002586),has_input(UniProtKB:Q08AI6)	20190916	P
UniProtKB	O00501	CLDN5	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:25323998		9606	ARUK-UCL	regulates_o_occurs_in(CL:0002585),has_input(UniProtKB:O95832)|regulates_o_occurs_in(CL:0002586),has_input(UniProtKB:O95832)	20190702	P
UniProtKB	Q9JKD6	Cldn5	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:O00501	10116	RGD	regulates_o_occurs_in(CL:0002585),has_input(UniProtKB:O95832)|regulates_o_occurs_in(CL:0002586),has_input(UniProtKB:O95832)	20190702	P
UniProtKB	O54942	Cldn5	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:30734065		10090	ARUK-UCL	has_input(UniProtKB:Q9Z0S5),occurs_in(CL:2000044)	20190918	P
UniProtKB	Q9JKD6	Cldn5	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1276112	10116	RGD	has_input(UniProtKB:Q9Z0S5),occurs_in(CL:2000044)	20190918	P
UniProtKB	A0A0G2JW33	Clec7a	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9BXN2	10116	RGD	regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P42081)|regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P25942)	20190507	P
UniProtKB	B2RYG9	Clec7a	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9BXN2	10116	RGD	regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P42081)|regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P25942)	20190507	P
UniProtKB	B5BUZ1	Clec7a	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9BXN2	10116	RGD	regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P42081)|regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P25942)	20190507	P
UniProtKB	B5BUZ2	Clec7a	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9BXN2	10116	RGD	regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P42081)|regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P25942)	20190507	P
UniProtKB	Q9BXN2	CLEC7A	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:19358895		9606	ARUK-UCL	regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P42081)|regulates_o_occurs_in(CL:0000451),has_input(UniProtKB:P25942)	20190507	P
UniProtKB	P05371	Clu	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000316	IGI	PMID:23164821	ComplexPortal:CPX-1120|ComplexPortal:CPX-1134|UniProtKB:P05067:PRO_0000000092|UniProtKB:P05067:PRO_0000000093	10116	ARUK-UCL	regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:D3Z9J1)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:D4A4F4)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:O08876)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P39948)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P12841)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:A0A0H2UHR3)	20170627	P
UniProtKB	P10909	CLU	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P05371	9606	ARUK-UCL	regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:D3Z9J1)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:D4A4F4)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:O08876)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P39948)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P12841)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:A0A0H2UHR3)	20170627	P
UniProtKB	P05371	Clu	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000316	IGI	PMID:23164821	ComplexPortal:CPX-1120|ComplexPortal:CPX-1134|UniProtKB:P05067:PRO_0000000092|UniProtKB:P05067:PRO_0000000093	10116	ARUK-UCL	has_input(UniProtKB:D3Z9J1),occurs_in(UBERON:0000956)	20170627	P
UniProtKB	P10909	CLU	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P05371	9606	ARUK-UCL	has_input(UniProtKB:D3Z9J1),occurs_in(UBERON:0000956)	20170627	P
UniProtKB	A0A0G2JXF2	Cngb1	acts_upstream_of	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2664102	10116	RGD	occurs_in(CL:0002167),has_input(UniProtKB:Q64288),part_of(GO:0021630)	20210422	P
UniProtKB	A0A0G2K685	Cngb1	acts_upstream_of	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2664102	10116	RGD	occurs_in(CL:0002167),has_input(UniProtKB:Q64288),part_of(GO:0021630)	20210422	P
UniProtKB	A0A8I5ZN27	Cngb1	acts_upstream_of	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2664102	10116	RGD	occurs_in(CL:0002167),has_input(UniProtKB:Q64288),part_of(GO:0021630)	20210422	P
UniProtKB	E1AZ71	Cngb1	acts_upstream_of	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:28053034		10090	ARUK-UCL	occurs_in(CL:0002167),has_input(UniProtKB:Q64288),part_of(GO:0021630)	20210422	P
UniProtKB	F1LQB8	Cngb1	acts_upstream_of	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2664102	10116	RGD	occurs_in(CL:0002167),has_input(UniProtKB:Q64288),part_of(GO:0021630)	20210422	P
UniProtKB	O35788	Cngb1	acts_upstream_of	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2664102	10116	RGD	occurs_in(CL:0002167),has_input(UniProtKB:Q64288),part_of(GO:0021630)	20210422	P
UniProtKB	P02741	CRP	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:24141169		9606	AgBase	has_input(UniProtKB:P79335)	20141106	P
UniProtKB	P48199	Crp	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P02741	10116	RGD	has_input(UniProtKB:P79335)	20141106	P
UniProtKB	P07141	Csf1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:30687013		10090	ARUK-UCL	has_input(UniProtKB:Q9QXH4)|has_input(UniProtKB:P10148)	20190430	P
UniProtKB	Q8JZQ0	Csf1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1339753	10116	RGD	has_input(UniProtKB:Q9QXH4)|has_input(UniProtKB:P10148)	20190430	P
UniProtKB	P00786	Ctsh	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P09668	10116	RGD	has_input(UniProtKB:P08253)|has_input(UniProtKB:P08254)	20111206	P
UniProtKB	P09668	CTSH	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:21217776		9606	UniProt	has_input(UniProtKB:P08253)|has_input(UniProtKB:P08254)	20111206	P
UniProtKB	P70298	Cux2	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:20510857		10090	UniProt	occurs_in(UBERON:0005391),has_input(UniProtKB:Q62108),has_input(UniProtKB:Q01097),has_input(UniProtKB:P60710)|occurs_in(UBERON:0005392),has_input(UniProtKB:Q62108),has_input(UniProtKB:Q01097),has_input(UniProtKB:P60710)	20140228	P
UniProtKB	O14529	CUX2	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P70298	9606	CAFA	occurs_in(UBERON:0005391),has_input(UniProtKB:P78352),has_input(UniProtKB:Q13224),has_input(UniProtKB:P60709)|occurs_in(UBERON:0005392),has_input(UniProtKB:P78352),has_input(UniProtKB:Q13224),has_input(UniProtKB:P60709)	20140228	P
UniProtKB	F1M048	Cux2	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:107321	10116	RGD	occurs_in(EMAPA:35256),has_input(UniProtKB:Q62108),has_input(UniProtKB:Q01097),has_input(UniProtKB:P60710)|occurs_in(EMAPA:35257),has_input(UniProtKB:Q62108),has_input(UniProtKB:Q01097),has_input(UniProtKB:P60710)	20140228	P
UniProtKB	P10145	CXCL8	acts_upstream_of_or_within	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:29048659		9606	ARUK-UCL	has_input(UniProtKB:P08670)	20200526	P
UniProtKB	P10145	CXCL8	acts_upstream_of_or_within	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:29048659		9606	ARUK-UCL	has_input(UniProtKB:P02751)	20200526	P
UniProtKB	A0A8I6AKQ6	Ddrgk1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96HY6	10116	RGD	has_input(UniProtKB:P78423)	20161103	P
UniProtKB	D3ZAS9	Ddrgk1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96HY6	10116	RGD	has_input(UniProtKB:P78423)	20161103	P
UniProtKB	Q96HY6	DDRGK1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:23675531		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P78423)	20161103	P
UniProtKB	Q96HY6	DDRGK1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:23675531		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P0DJI9)	20161103	P
UniProtKB	O00571	DDX3X	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000303	NAS	PMID:22492871		9606	ARUK-UCL	has_input(UniProtKB:P24864)	20210524	P
UniProtKB	P52824	DGKQ	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:24369117		9606	ParkinsonsUK-UCL	has_input(UniProtKB:Q8WTV0)	20161111	P
UniProtKB	D3ZEY4	Dgkq	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P52824	10116	RGD	has_input(UniProtKB:Q05469)	20161111	P
UniProtKB	P52824	DGKQ	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:24369117		9606	ParkinsonsUK-UCL	has_input(UniProtKB:Q05469)	20161111	P
UniProtKB	P52824	DGKQ	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:24369117		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P49675)	20161111	P
UniProtKB	P52824	DGKQ	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:24369117		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P26439)	20161111	P
UniProtKB	P52824	DGKQ	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:24369117		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P05108)	20161111	P
UniProtKB	P52824	DGKQ	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:24369117		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P05093)	20161111	P
UniProtKB	P52824	DGKQ	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:24369117		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P01130)	20161111	P
UniProtKB	E9PU15	Dicer1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2177178	10116	RGD	has_input(UniProtKB:P24860)	20151126	P
UniProtKB	Q4G034	Dicer1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:2177178	10116	RGD	has_input(UniProtKB:P24860)	20151126	P
UniProtKB	Q8R418	Dicer1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:22053081		10090	BHF-UCL	has_input(UniProtKB:P24860)	20151126	P
UniProtKB	D3Z9J1	Dkk1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:O94907	10116	RGD	regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:Q15742)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:Q13118)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P24385)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P01100)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P18146)	20170627	P
UniProtKB	O94907	DKK1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000316	IGI	PMID:23164821	ComplexPortal:CPX-1120|ComplexPortal:CPX-1134|UniProtKB:P05067:PRO_0000000092|UniProtKB:P05067:PRO_0000000093	9606	ARUK-UCL	regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:Q15742)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:Q13118)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P24385)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P01100)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P18146)	20170627	P
UniProtKB	O94907	DKK1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000316	IGI	PMID:23164821	ComplexPortal:CPX-1120|ComplexPortal:CPX-1134|UniProtKB:P08592:PRO_0000000166|UniProtKB:P08592:PRO_0000000167	9606	ARUK-UCL	regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:Q15742)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:Q13118)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P24385)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P01100)|regulates_o_occurs_in(CL:0002609),has_input(UniProtKB:P18146)	20170627	P
UniProtKB	O94907	DKK1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O54908	9606	ARUK-UCL	occurs_in(UBERON:0016538),has_input(UniProtKB:P18146)|occurs_in(UBERON:0016538),has_input(UniProtKB:P01100)|occurs_in(UBERON:0016538),has_input(UniProtKB:P24385)|occurs_in(UBERON:0016538),has_input(UniProtKB:Q13118)|occurs_in(UBERON:0016538),has_input(UniProtKB:Q15742)	20170428	P
UniProtKB	D3Z9J1	Dkk1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1329040	10116	RGD	occurs_in(UBERON:0016538),has_input(UniProtKB:P08046)|occurs_in(UBERON:0016538),has_input(UniProtKB:P01101)|occurs_in(UBERON:0016538),has_input(UniProtKB:P25322)|occurs_in(UBERON:0016538),has_input(UniProtKB:O89091)|occurs_in(UBERON:0016538),has_input(UniProtKB:Q61127)	20170428	P
UniProtKB	O54908	Dkk1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:23164821		10090	ARUK-UCL	occurs_in(UBERON:0016538),has_input(UniProtKB:P08046)|occurs_in(UBERON:0016538),has_input(UniProtKB:P01101)|occurs_in(UBERON:0016538),has_input(UniProtKB:P25322)|occurs_in(UBERON:0016538),has_input(UniProtKB:O89091)|occurs_in(UBERON:0016538),has_input(UniProtKB:Q61127)	20170428	P
UniProtKB	D3ZHH1	Dll4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9NR61	10116	RGD	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:Q14790),occurs_in(CL:0000115)	20180517	P
UniProtKB	Q9NR61	DLL4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:26491108		9606	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:Q14790),occurs_in(CL:0000115)	20180517	P
UniProtKB	Q9NR61	DLL4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:26491108		9606	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:P50591),occurs_in(CL:0000115)	20180517	P
UniProtKB	Q9NR61	DLL4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:26491108		9606	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:P42574),occurs_in(CL:0000115)	20180517	P
UniProtKB	Q9NR61	DLL4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:26491108		9606	BHF-UCL	occurs_in(UBERON:0002137),part_of(GO:0003180),has_input(UniProtKB:P01375),occurs_in(CL:0000115)	20180517	P
UniProtKB	Q9NR61	DLL4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:23388056		9606	UniProt	has_input(UniProtKB:Q14469)|occurs_in(CL:0002618)|has_input(UniProtKB:Q99466)|has_input(UniProtKB:P17948)	20141114	P
UniProtKB	Q4QR73	Dnaja4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q8WW22	10116	RGD	has_input(UniProtKB:P02649)	20190304	P
UniProtKB	Q8WW22	DNAJA4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:23142051		9606	ARUK-UCL	has_input(UniProtKB:P02649)	20190304	P
UniProtKB	P18901	Drd1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P21728	10116	RGD	has_input(UniProtKB:P0DMM9),has_input(UniProtKB:P50225)	20160927	P
UniProtKB	P21728	DRD1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:24136195		9606	CAFA	has_input(UniProtKB:P0DMM9),has_input(UniProtKB:P50225)	20160927	P
UniProtKB	A0A8I5Y0A2	Drosha	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1261425	10116	RGD	has_input(UniProtKB:P24860)	20151126	P
UniProtKB	E9PTR3	Drosha	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1261425	10116	RGD	has_input(UniProtKB:P24860)	20151126	P
UniProtKB	Q5HZJ0	Drosha	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:22053081		10090	BHF-UCL	has_input(UniProtKB:P24860)	20151126	P
UniProtKB	P08154	Egr1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P18146	10116	RGD	has_input(RNAcentral:URS0000233054_9606),occurs_in(CL:1001568)	20210108	P
UniProtKB	P18146	EGR1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:24244514		9606	BHF-UCL	has_input(RNAcentral:URS0000233054_9606),occurs_in(CL:1001568)	20210108	P
UniProtKB	Q9Z1Z1	Eif2ak3	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1341830	10116	RGD	part_of(GO:0034976),has_input(UniProtKB:Q06507)	20150203	P
UniProtKB	Q9Z2B5	Eif2ak3	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:14729979		10090	ParkinsonsUK-UCL	part_of(GO:0034976),has_input(UniProtKB:Q06507)	20150203	P
UniProtKB	Q9NZJ5	EIF2AK3	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:22915762		9606	ParkinsonsUK-UCL	has_input(UniProtKB:P11021),happens_during(GO:0042149)|has_input(UniProtKB:P18848),happens_during(GO:0042149)	20141110	P
UniProtKB	Q9Z1Z1	Eif2ak3	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9NZJ5	10116	RGD	has_input(UniProtKB:P11021),happens_during(GO:0042149)|has_input(UniProtKB:P18848),happens_during(GO:0042149)	20141110	P
UniProtKB	D4A7V9	Eif2ak4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1353427	10116	RGD	part_of(GO:0034198),has_input(UniProtKB:Q60765)|part_of(GO:0034198),has_input(UniProtKB:P35639)	20150203	P
UniProtKB	Q9QZ05	Eif2ak4	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:14729979		10090	ParkinsonsUK-UCL	part_of(GO:0034198),has_input(UniProtKB:Q60765)|part_of(GO:0034198),has_input(UniProtKB:P35639)	20150203	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),part_of(GO:1901203),has_input(UniProtKB:P54320)	20180814	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),part_of(GO:1901203),has_input(UniProtKB:P15502)	20180814	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:Q9Z1F6),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:Q9WVH9),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:Q9UBX5),negatively_regulates(GO:0001525)	20180814	P
UniProtKB	Q99K41	Emilin1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:25056700		10090	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P39061),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:P39060),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	Q9Y6C2	EMILIN1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K41	9606	BHF-UCL	occurs_in(UBERON:0011742),part_of(GO:0003180),has_input(UniProtKB:O75829),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	A0A8I6AGS7	Emilin1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1926189	10116	RGD	occurs_in(EMAPA:18627),part_of(GO:0003180),has_input(UniProtKB:P39061),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	D3Z9E1	Emilin1	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:1926189	10116	RGD	occurs_in(EMAPA:18627),part_of(GO:0003180),has_input(UniProtKB:P39061),negatively_regulates(GO:0001525)	20180327	P
UniProtKB	B2RYE5	Epb41l4b	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9H329	10116	RGD	occurs_in(CL:0000312),has_input(UniProtKB:O00401)	20150713	P
UniProtKB	Q9H329	EPB41L4B	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:23664528		9606	UniProt	occurs_in(CL:0000312),has_input(UniProtKB:O00401)	20150713	P
UniProtKB	A0A0G2JY48	Ephb2	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:21113149		10116	ARUK-UCL	has_input(UniProtKB:P12841),occurs_in(CL:0000540)	20170620	P
UniProtKB	P29323	EPHB2	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A0A0G2JY48	9606	ARUK-UCL	has_input(UniProtKB:P01100),occurs_in(CL:0000540)	20170620	P
UniProtKB	P34914	Ephx2	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:18974052		10090	UniProt	has_input(UniProtKB:Q01237)	20120706	P
UniProtKB	P80299	Ephx2	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:99500	10116	RGD	has_input(UniProtKB:Q01237)	20120706	P
UniProtKB	P34913	EPHX2	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:18974052		9606	UniProt	has_input(UniProtKB:P04035)	20120706	P
UniProtKB	P80299	Ephx2	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P34913	10116	RGD	has_input(UniProtKB:P04035)	20120706	P
UniProtKB	P0DP91	ERCC6	involved_in	GO:0010628	positive regulation of gene expression	ECO:0007001	HMP	PMID:22483866		9606	UniProt	has_input(UniProtKB:Q9BYX4),has_input(UniProtKB:O95786),has_input(UniProtKB:Q10589),has_input(UniProtKB:P42224),has_input(UniProtKB:P52630),has_input(UniProtKB:Q00978)	20181018	P
UniProtKB	A0A0G2JTU1	Ercc6	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P0DP91	10116	RGD	has_input(UniProtKB:P42224)	20181018	P
UniProtKB	D3ZS47	Ercc6	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P0DP91	10116	RGD	has_input(UniProtKB:P42224)	20181018	P
UniProtKB	P0DP91	ERCC6	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000315	IMP	PMID:22483866		9606	UniProt	has_input(UniProtKB:P42224)	20181018	P
UniProtKB	P30040	ERP29	involved_in	GO:0010628	positive regulation of gene expression	ECO:0000314	IDA	PMID:22064321		9606	ParkinsonsUK-UCL	has_input(UniProtKB:Q13217)|has_input(UniProtKB:Q9NZJ5)|has_input(UniProtKB:P11021)	20141209	P
